0 1 0 0 0 0 0 0 0 0
0 1 1 0 0 0 0 0 0 0
0 1 1 1 0 0 0 0 0 0
0 1 1 1 1 0 0 0 0 0
0 1 1 1 1 1 0 0 0 0
0 1 1 1 1 1 1 0 0 0
0 1 1 1 1 1 1 1 0 0
0 1 1 1 1 1 1 1 1 0
0 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1
0 0 0 0 0 0 0 0 0 1
0 2 1 1 1 1 1 1 1 1
0 1 0 0 0 0 0 0 0 1
2 13 4 2 2 2 2 2 2 2
0 1 0 0 0 0 0 0 0 0
1 2 0 0 0 0 0 0 0 0
10 21 20 20 20 20 20 20 20 20
12 23 20 20 20 20 20 20 20 20
10 20 19 19 19 19 19 19 19 20
12 22 19 19 19 19 19 19 19 20
10 20 19 19 19 19 19 19 19 19
12 22 19 19 19 19 19 19 19 19
2 2 1 1 1 1 1 1 1 11
4 4 1 1 1 1 1 1 1 11
4 4 1 1 1 1 1 1 1 10
1 1 0 0 0 0 0 0 0 2
3 3 0 0 0 0 0 0 0 2
12 16 1 1 1 1 1 1 1 3
34 134 50 23 23 23 23 23 26 34
488711 599703 599700 599700 599700 599700 599700 599700 599700 599703
68888896 80000001 80000000 80000000 80000000 80000000 80000000 80000000 80000000 80000000
68888896 80000000 79999999 79999999 79999999 79999999 79999999 79999999 79999999 79999999
68888887 79999981 79999980 79999980 79999980 79999980 79999980 79999980 79999980 79999980
68888707 79999701 79999700 79999700 79999700 79999700 79999700 79999700 79999700 79999700
68886007 79996001 79996000 79996000 79996000 79996000 79996000 79996000 79996000 79996000
68850007 79950001 79950000 79950000 79950000 79950000 79950000 79950000 79950000 79950000
68400007 79400001 79400000 79400000 79400000 79400000 79400000 79400000 79400000 79400000
63000007 73000001 73000000 73000000 73000000 73000000 73000000 73000000 73000000 73000000
7 1 0 0 0 0 0 0 0 0
63000007 73000001 73000000 73000000 73000000 73000000 73000000 73000000 73000000 73000007
7 1 0 0 0 0 0 0 0 8
